County,Location Lat-Long,Cleanup Type,Cleanup Date,Cleanup Site,Adults,Children,People,Pounds,Miles,Bags,Cigarette Butts,Food Wrappers,Take Out/Away Containers (Plastic),Take Out/Away Containers (Foam),Bottle Caps (Plastic),Bottle Caps (Metal),Lids (Plastic),"Straws, Stirrers","Forks, Knives, Spoons",Beverage Bottles (Plastic),Beverage Bottles (Glass),Beverage Cans,Grocery Bags (Plastic),Other Plastic Bags,Paper Bags,"Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps",Fishing Net & Pieces,Fishing Line,Rope,6-Pack Holders,Other Plastic/Foam Packaging,Other Plastic Bottles,Strapping Bands,Tobacco Packaging/Wrap,Appliances,Balloons,Cigar Tips,Cigarette Lighters,Construction Materials,Fireworks,Tires,Toys,Condoms,Diapers,Syringes,Tampons/Tampon Applicators,Foam Pieces,Glass Pieces,Plastic Pieces,"Clothing, Shoes",Shotgun Shells/Wadding,Light Bulbs/Tubes,Batteries,Cars/Car Parts,55-Gallon Drums
Kent,"(39.102739, -75.402356)",Beach,09/20/2008,Kitts Hummock,,,45,1500,1,21,8,64,,,141,73,,52,31,111,40,123,81,,19,,,,20,1,28,12,4,6,15,4,4,,26,16,27,219,,4,11,,,3,15,,,,11,70,1,,4,3
Kent,"(39.085748, -75.421875)",Beach,09/20/2008,Ted Harvey WLA/ Ted Harvey Wildlife Area,,,45,165,2,13,4,12,,,18,,,21,23,62,18,46,28,,,,,,5,,3,10,2,5,14,,,,10,,5,0,,4,3,,,,,,,,4,33,2,,,
New Castle,"(39.738765, -75.53939)",Beach,09/20/2008,E. 7th Street - Barbiarz Park,,,18,180,1,18,172,100,,,68,7,,43,35,68,41,70,133,,44,,,,21,,32,7,,2,2,,11,1,0,4,8,7,,,11,40,,,,,,,20,,2,4,3,
New Castle,"(39.664715, -75.557785)",Beach,09/20/2008,Battery Park,,,51,892,0.5,52,541,871,,,1446,112,,598,303,759,206,111,290,,52,,,,13,2,8,33,18,23,30,25,25,0,20,163,43,104,,10,122,3,,26,48,,,,37,12,2,0,19,0
New Castle,"(39.504724, -75.580976)",Beach,09/20/2008,Augustine Beach Boat Ramp,,,70,2200,1,0,75,7,,,110,2,,80,25,200,40,20,60,,20,,,,3,2,4,2,7,11,2,1,5,1,1,9,7,10,,,3,,5,,5,,,,14,,,,2,
New Castle,"(39.509128, -75.636548)",Beach,09/20/2008,Augustine Creek,,,6,600,0.25,41,15,29,,,47,9,,0,10,67,59,89,62,,25,,,,19,,14,9,3,14,6,,21,,0,,3,62,,7,13,2,4,,,,,,12,0,,,16,
New Castle,"(39.4783301, -75.60167)",Beach,09/20/2008,Augustine Beach WLA/ Augustine Beach- Impoundment,,,23,1235,0.5,34,139,325,,,446,52,,95,192,390,149,108,189,,22,,,,26,,82,61,7,43,17,2,26,,4,32,35,9,,29,22,1,6,4,6,,,,53,12,3,,5,
Kent,"(39.137057, -75.409641)",Beach,09/20/2008,Pickering Beach,,,15,100,1,0,4,62,,,52,14,,28,4,86,41,28,32,,14,,,,7,3,3,5,,7,14,17,2,,23,3,8,26,,1,23,,4,,1,,,,3,11,1,2,1,
Kent,"(39.35, -75.50111)",Beach,09/20/2008,Woodland Beach WLA/ Woodland Beach-McKay,,,15,100,1,0,86,62,,,41,1,,13,68,60,64,49,59,,39,,,,7,1,1,1,5,5,0,1,17,1,,3,13,43,,2,1,2,1,,,,,,6,2,,4,,
Kent,"(39.006766, -75.370143)",Beach,09/20/2008,Bennetts Pier,,,20,1500,1,20,564,115,,,387,62,,55,68,263,310,190,187,,35,,,,13,1,246,33,17,95,11,1,10,,18,21,1,10,,8,3,7,1,,4,,,,19,16,4,,2,
Kent,"(39.172165, -75.422591)",Beach,09/20/2008,Port Mahon Road - Little Creek,,,74,630,1,84,152,263,,,120,2,,29,146,277,238,228,242,,81,,,,23,1,10,20,29,40,23,5,47,,8,,16,101,,25,10,8,3,0,1,,,,42,37,4,,29,
Kent,"(39.331561, -75.471161)",Beach,09/20/2008,Woodland Beach Boat Ramp,,,97,1075,1.5,43,892,238,,,437,38,,66,112,223,238,70,179,,41,,,,42,3,39,27,9,29,16,12,72,,12,78,16,42,,8,58,11,5,2,7,,,,57,40,5,,6,1
Sussex,"(38.53866, -75.054047)",Beach,09/20/2008,South Bethany Beach,,,24,90,1,8,615,91,,,393,,,31,18,1,1,2,269,,61,,,,3,,1,9,,3,0,,,,32,8,2,3,,,40,,,,,,,,3,9,1,,,
Sussex,"(38.701632, -75.162672)",Beach,09/20/2008,Boat Hole/Love Creek,,,4,5000,2,10,2013,888,,,282,,,,97,33,679,597,326,,16,,,,168,23,13,7,,923,12,4,41,,,1,1,12,,,,,12,,,,,,10,,0,2,1,
Sussex,"(38.913711, -75.305546)",Beach,09/20/2008,Slaughter Beach,,,75,300,4,10,42,78,,,358,3,,71,107,218,36,190,140,,31,,,,20,12,49,34,4,24,13,4,4,,130,5,44,20,,4,32,,1,,20,,,,17,112,,2,4,
Sussex,"(38.827978, -75.212532)",Beach,09/20/2008,Broadkill Beach,,,67,430,1,43,447,195,,,216,60,,62,96,112,68,118,188,,50,,,,36,6,54,33,10,42,2,17,22,,92,25,15,75,,5,45,6,,,14,,,,26,52,2,,2,1
Sussex,"(38.544004, -75.054806)",Beach,09/20/2008,Bethany Beach,,,46,50,5,16,524,148,,,189,2,,58,69,35,5,10,35,,12,,,,6,,,26,,27,0,3,10,,39,123,3,23,,,54,,1,1,2,,,,4,3,,,1,
Sussex,"(38.794119, -75.168285)",Beach,09/20/2008,Beach Plum Island,,,4,80,1,4,53,11,,,25,,,1,11,54,21,19,11,,,,,,5,,2,3,,7,10,1,1,,8,2,3,0,,,5,1,0,0,1,,,,2,4,3,,1,
Sussex,"(38.460359, -75.049301)",Beach,09/20/2008,Fenwick Island,,,75,130,1,14,1255,113,,,836,9,,172,89,49,19,65,103,,11,,,,12,2,4,20,,4,2,14,11,1,68,79,19,12,,1,84,4,1,3,6,,,,4,24,,,1,
Sussex,"(38.697879, -75.072531)",Beach,09/20/2008,Dewey Beach,,,55,100,1.6,25,1978,122,,,476,6,,64,79,33,15,19,53,,3,,,,21,0,7,15,1,14,0,24,6,,29,32,2,10,,1,52,4,,2,20,,,,14,17,2,1,2,
Kent,"(38.644763109162, -75.0706100463867)",Beach,09/20/2008,Delaware Seashore North,,,25,116,5,0,44,46,,,113,2,,77,33,38,6,15,79,,2,,,,39,,7,12,,1,0,9,1,,41,49,4,1,,6,6,1,3,2,17,,,,1,31,1,,,
Sussex,"(38.488626, -75.056725)",Beach,09/20/2008,Fenwick Island State Park,,,34,251,6,0,1501,216,,,571,7,,133,86,29,5,35,91,,9,,,,15,,5,15,3,15,7,2,12,,82,50,4,26,,6,88,,2,,6,,,,6,4,1,,,
Sussex,"(38.7224961, -75.096154)",Beach,09/20/2008,Indian River Lifesaving Station,,,52,380,2.75,0,1053,266,,,396,4,,97,135,172,12,41,185,,26,,,,204,3,6,34,4,56,5,5,3,,114,83,16,26,,,51,,,2,14,,,,16,41,,,8,
New Castle,"(39.7829201, -75.50058)",Beach,09/20/2008,Fox Point Park,,,97,3340,1.5,40,12,64,,,187,14,,98,128,655,127,77,52,,1,,,,6,3,10,15,8,18,24,6,2,1,1,17,24,14,,20,128,4,,6,10,,,,46,3,2,3,11,3
Sussex,"(38.589981, -75.127955)",Beach,09/20/2008,Holts Landing State Park,,,6,70,0.5,0,30,30,,,13,1,,7,10,23,10,40,23,,5,,,,5,2,4,4,0,2,1,1,2,2,1,1,1,8,,0,10,0,2,0,0,,,,13,19,0,0,0,0
Sussex,"(38.782381, -75.102911)",Beach,09/20/2008,Cape Henlopen State Park - Gordons Pond,,,45,105,1,22,1463,155,,,350,9,,100,40,38,10,28,97,,7,,,,21,,13,25,1,3,2,17,8,,61,94,11,8,,1,47,,,,5,,,,9,32,,,4,
Kent,"(39.058492, -75.397273)",Beach,09/20/2008,Bowers Beach North/ Bowers Beach,,,39,130,0,11,118,31,,,67,4,,9,15,41,75,15,35,,12,,,,9,1,2,2,3,4,4,3,8,,3,7,19,14,,2,9,,1,1,1,,,,5,10,,2,5,
Sussex,"(38.7745565, -75.1393498)",Beach,09/20/2008,Cape Henlopen State Park- Herring Point,,,60,187,1,0,1210,218,,,739,49,,129,132,74,13,36,271,,30,,,,62,3,22,49,1,30,5,25,5,,11,85,11,36,,,115,5,2,2,29,,,,27,57,1,,5,
Sussex,"(38.7258873, -75.0779057)",Beach,09/20/2008,Deauville,,,2,200,1,10,1500,40,,,600,2,,25,70,60,10,15,40,,10,,,,10,,3,3,2,0,0,,20,,15,40,14,0,,,21,5,,,9,,,,12,10,,3,,
Sussex,"(38.7666667, -75.0958333)",Beach,09/20/2008,Cape Henlopen State Park - Main Beach,,,92,350,1,0,2704,302,,,656,14,,165,172,124,53,102,324,,161,,,,71,3,17,69,6,16,8,40,99,0,104,93,22,61,,1,129,8,1,2,47,,,,25,25,11,0,3,1
Sussex,"(38.6226376217145, -75.0929300253907)",Beach,10/04/2008,Inland Bays,,,3,17.5,1,1,110,18,,,22,0,,17,6,8,1,0,6,,0,,,,2,0,1,1,0,0,2,1,0,,9,2,0,0,,,3,,,,,,,,1,1,0,,,
Sussex,"(38.781946, -75.12997)",Beach,11/12/2008,Lewes Beach,,,73,233,4.5,23,3854,254,,,418,25,,212,295,72,17,32,261,,143,,,,25,4,20,43,4,64,5,18,16,,97,94,9,72,,,98,4,5,,11,,,,48,26,2,1,8,
New Castle,"(39.6620572, -75.5663132)",Beach,09/12/2009,Ommelanden Range,,,37,100,1,2,33,64,,,219,6,,43,45,343,161,23,96,,7,,,,11,,8,17,11,19,48,6,10,,10,57,52,8,,6,67,4,,2,18,,,,26,44,1,,12,
Kent,"(39.085748, -75.421875)",Beach,09/19/2009,Ted Harvey WLA/ Ted Harvey Wildlife Area,,,68,369,2,18,2,15,,,12,5,,4,13,28,10,29,22,,6,,,,15,4,5,5,,5,14,5,,,13,,3,4,,6,8,,,,4,,,,2,24,3,,,
New Castle,"(39.738765, -75.53939)",Beach,09/19/2009,E. 7th Street - Barbiarz Park,,,10,60,1,6,55,35,,,15,1,,2,12,15,7,22,4,,10,,,,0,,,,2,0,5,,,,2,,1,0,,2,13,,,2,,,,,2,1,,2,,
New Castle,"(39.664715, -75.557785)",Beach,09/19/2009,Battery Park,,,65,365,0.5,22,466,825,,,1072,16,,330,228,396,249,44,180,,34,,,,17,3,8,16,10,18,12,16,32,,6,112,31,11,,3,60,5,,8,28,,,,28,3,4,2,7,
New Castle,"(39.509128, -75.636548)",Beach,09/19/2009,Augustine Creek,,,15,300,0.25,15,,23,,,28,,,,,15,28,57,33,,16,,,,0,,11,6,,21,8,,9,,,,,14,,5,8,,2,,,,,,11,,,,,
New Castle,"(39.4783301, -75.60167)",Beach,09/19/2009,Augustine Beach WLA/ Augustine Beach- Impoundment,,,56,1300,0.5,50,380,148,,,311,5,,88,80,702,283,161,42,,38,,,,13,2,36,14,27,22,22,3,14,2,2,31,79,17,,22,21,2,14,,9,,,,25,12,,,15,
Kent,"(39.102739, -75.402356)",Beach,09/19/2009,Kitts Hummock,,,144,725,1,19,15,29,,,39,16,,9,35,160,29,144,96,,4,,,,19,2,19,15,2,4,8,3,4,,29,1,6,16,,1,11,,,,6,,,,8,28,1,,1,
Kent,"(39.137057, -75.409641)",Beach,09/19/2009,Pickering Beach,,,29,200,1,12,,,,,1,,,,,1,,1,,,,,,,0,,,,,0,0,,,,1,,,2,,1,,,,,,,,,,,,,,
Kent,"(39.35, -75.50111)",Beach,09/19/2009,Woodland Beach WLA/ Woodland Beach-McKay,,,2,50,1,2,200,200,,,21,2,,3,3,22,31,36,13,,,,,,1,,2,2,1,1,0,,8,,2,4,,3,,,,2,,,1,,,,2,1,1,1,,
Kent,"(39.006766, -75.370143)",Beach,09/19/2009,Bennetts Pier,,,40,800,1,60,410,242,,,80,4,,77,92,336,158,192,215,,39,,,,11,,16,5,12,33,25,4,21,1,14,,8,18,,,7,2,7,1,1,,,,36,24,,,4,
Kent,"(39.172165, -75.422591)",Beach,09/19/2009,Port Mahon Road - Little Creek,,,15,1570,1,87,359,358,,,210,34,,67,234,386,209,312,242,,115,,,,41,6,24,28,41,35,25,12,88,,21,18,15,226,,24,16,9,8,1,5,,,,62,44,17,9,24,
Kent,"(39.331561, -75.471161)",Beach,09/19/2009,Woodland Beach Boat Ramp,,,73,200,1.5,17,1115,87,,,352,39,,47,50,55,106,55,60,,16,,,,9,1,18,16,1,0,11,5,24,,4,455,7,10,,1,5,1,,2,3,,,,11,5,2,,,
Sussex,"(38.781946, -75.12997)",Beach,09/19/2009,Lewes Beach,,,63,212,4.5,12,3801,480,,,641,15,,266,352,88,54,13,222,,98,,,,48,6,29,45,,22,0,9,10,,44,68,4,93,,1,124,,,,5,,,,51,41,3,,,
Sussex,"(38.53866, -75.054047)",Beach,09/19/2009,South Bethany Beach,,,23,70,1,3,217,103,,,33,3,,26,32,13,1,10,62,,26,,,,0,,,10,1,6,0,12,3,,10,14,,18,,,25,1,1,,,,,,18,,,,,
Sussex,"(38.701632, -75.162672)",Beach,09/19/2009,Boat Hole/Love Creek,,,6,190,2,8,41,60,,,18,78,,,26,39,68,78,58,,41,,,,1,,16,1,5,2,0,,11,,,21,,17,,,,4,11,,,,,,27,,,1,,
Sussex,"(38.913711, -75.305546)",Beach,09/19/2009,Slaughter Beach,,,161,591,4,49,62,299,,,310,15,,130,138,262,52,266,318,,33,,,,47,5,47,40,12,44,13,24,8,1,158,22,15,49,,3,46,3,,,11,,,,8,123,3,,4,
Sussex,"(38.827978, -75.212532)",Beach,09/19/2009,Broadkill Beach,,,75,350,1,22,22,137,,,246,11,,36,91,117,12,112,101,,31,,,,17,6,19,26,,19,6,20,3,,132,27,13,81,,,22,,5,,24,,,,23,108,1,,,
Sussex,"(38.544004, -75.054806)",Beach,09/19/2009,Bethany Beach,,,65,157,5,33,434,188,,,296,17,,106,108,74,20,26,149,,36,,,,16,3,9,28,2,7,2,12,7,,75,34,14,43,,1,93,,3,2,10,,,,36,29,1,,4,
Sussex,"(38.794119, -75.168285)",Beach,09/19/2009,Beach Plum Island,,,25,90,1,6,13,20,,,50,,,2,9,90,12,60,15,,,,,,3,1,1,3,,0,0,2,,,20,1,,3,,,1,,1,,,,,,2,19,2,2,1,
Sussex,"(38.460359, -75.049301)",Beach,09/19/2009,Fenwick Island,,,64,125,1,8,273,82,,,130,1,,30,31,23,4,14,41,,4,,,,6,,,8,,1,1,2,,,10,16,5,3,,,10,,,1,3,,,,5,6,,1,,
Sussex,"(38.697879, -75.072531)",Beach,09/19/2009,Dewey Beach,,,55,300,1.6,31,1170,214,,,325,9,,94,104,158,15,73,149,,8,,,,18,2,3,10,1,11,4,7,15,,40,41,11,9,,,84,2,,,14,,,,14,28,,,,
Sussex,"(38.488626, -75.056725)",Beach,09/19/2009,Fenwick Island State Park,,,48,250,6,18,279,184,,,288,2,,84,46,59,30,24,132,,12,,,,22,3,6,16,2,14,4,6,9,,51,43,9,38,,,70,1,1,,15,,,,22,24,,1,7,
Sussex,"(38.7224961, -75.096154)",Beach,09/19/2009,Indian River Lifesaving Station,,,84,1160,2.75,53,385,326,,,570,14,,118,169,313,86,129,291,,32,,,,100,7,42,61,19,67,24,7,28,,184,78,21,51,,2,95,3,2,3,23,,,,47,239,11,3,14,
New Castle,"(39.7829201, -75.50058)",Beach,09/19/2009,Fox Point Park,,,100,2340,1.5,57,56,451,,,499,13,,288,189,1025,148,160,290,,4,,,,17,1,5,27,26,9,54,,16,,12,10,43,93,,18,111,3,,6,9,,,,29,23,7,4,20,
Sussex,"(38.782381, -75.102911)",Beach,09/19/2009,Cape Henlopen State Park - Gordons Pond,,,80,528,1,25,1024,181,,,375,17,,180,66,69,26,34,134,,19,,,,49,4,41,39,2,32,6,11,27,,71,114,10,38,,,39,6,,4,14,,,,20,37,2,2,5,
Kent,"(39.057709, -75.396355)",Beach,09/19/2009,Bowers Beach South/ South Bowers Beach,,,15,175,0,17,16,49,,,43,1,,7,41,126,74,123,64,,31,,,,4,4,1,1,,4,10,,12,,15,,7,4,,2,4,,2,8,,,,,25,13,,2,2,
Kent,,Beach,09/19/2009,DuPont Nature Center/ Mispillion Harbor,,,13,1100,2.4,20,,4,,,4,,,1,9,54,38,36,33,,10,,,,8,,,2,2,0,0,1,1,,4,,,1,,24,,,,,,,,,4,3,1,,1,
Sussex,,Beach,09/19/2009,Prime Hook Beach,,,18,75,2,5,,12,,,7,,,4,20,3,2,14,3,,,,,,3,1,5,2,1,1,0,,,,13,,,1,,,,,,,,,,,4,6,,,1,
Sussex,"(38.7168581635821, -75.0757598876953)",Beach,09/19/2009,Rehoboth Beach,,,125,200,2,24,4084,201,,,177,5,,173,81,40,15,10,107,,65,,,,5,1,1,5,5,3,0,1,8,,11,33,,6,,,31,1,1,,5,,,,6,10,2,1,,
Kent,"(39.058492, -75.397273)",Beach,09/19/2009,Bowers Beach North/ Bowers Beach,,,47,300,0,15,90,75,,,51,5,,12,54,29,14,59,54,,23,,,,4,4,16,6,,4,2,7,11,,5,4,1,23,,,7,1,,,1,,,,6,10,,2,5,
Sussex,"(38.7745565, -75.1393498)",Beach,09/19/2009,Cape Henlopen State Park- Herring Point,,,30,150,1,12,122,61,,,138,2,,35,28,33,6,14,37,,4,,,,9,,2,21,,5,3,2,3,,24,10,,2,,,26,2,1,,9,,,,24,17,3,,1,
Kent,"(39.0389933, -75.6273554)",Beach,09/19/2009,Norman G. Wilder Wildlife Area,,,3,25,1,2,,44,,,2,,,3,2,9,20,4,14,,2,,,,0,,,,3,0,0,,10,,,,,0,,,,2,,,,,,,3,,,,,
Sussex,"(38.2600133, -75.8563004)",Beach,09/19/2009,Nanticoke Wildlife Area,,,78,90,2,6,197,115,,,33,1,,8,28,51,16,34,20,,13,,,,1,,,,1,3,0,5,11,,2,5,5,25,,,5,,1,,,,,,13,,,1,2,
Sussex,"(38.7258873, -75.0779057)",Beach,09/19/2009,Deauville,,,10,70,1,6,74,54,,,79,5,,34,43,27,17,41,25,,8,,,,7,,,7,1,2,4,,2,,14,8,3,11,,,37,1,,,,,,,3,9,,1,,
Sussex,"(38.7666667, -75.0958333)",Beach,09/19/2009,Cape Henlopen State Park - Main Beach,,,121,500,1,52,481,280,,,504,31,,138,161,223,190,195,456,,40,,,,46,16,34,139,7,33,25,16,9,,94,98,22,61,,3,116,5,,2,62,,,,51,35,13,1,5,1
Kent,"(39.000738, -75.327916)",Beach,06/18/2010,Big Stone Beach,,,26,80,2,12,39,28,,,28,0,,4,12,74,14,38,11,,5,,,,0,0,0,1,0,12,0,1,7,3,5,1,2,0,,0,3,0,1,0,1,,,,6,9,1,0,0,0
Sussex,"(38.589981, -75.127955)",Beach,09/25/2010,Holts Landing State Park,,,18,10,0.5,3,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Kent,"(39.085748, -75.421875)",Beach,09/25/2010,Ted Harvey WLA/ Ted Harvey Wildlife Area,,,71,60,2,12,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,"(38.6226376217145, -75.0929300253907)",Beach,09/25/2010,Inland Bays,,,104,180,1,12,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
New Castle,"(39.664715, -75.557785)",Beach,09/25/2010,Battery Park,,,119,402,0.5,93,293,394,,,465,31,,241,142,257,484,36,124,,24,,,,10,0,6,2,8,8,15,16,46,0,13,168,27,11,,5,40,1,0,2,57,,,,25,16,0,2,7,0
New Castle,"(39.504724, -75.580976)",Beach,09/25/2010,Augustine Beach Boat Ramp,,,67,653,1,36,1056,345,,,749,10,,172,155,268,94,314,119,,13,,,,18,0,13,12,11,32,11,4,65,0,8,253,111,12,,13,27,10,20,3,42,,,,48,20,7,13,5,0
New Castle,"(39.4783301, -75.60167)",Beach,09/25/2010,Augustine Beach WLA/ Augustine Beach- Impoundment,,,45,0,0.5,36,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Kent,"(39.102739, -75.402356)",Beach,09/25/2010,Kitts Hummock,,,150,571,1,32,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Kent,"(39.137057, -75.409641)",Beach,09/25/2010,Pickering Beach,,,78,865,1,24,20,56,,,62,4,,20,33,177,31,115,137,,45,,,,26,8,4,25,1,13,21,6,3,1,23,7,9,16,,4,17,2,3,1,14,,,,16,75,1,1,3,2
Kent,"(39.35, -75.50111)",Beach,09/25/2010,Woodland Beach WLA/ Woodland Beach-McKay,,,3,100,1,2,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Kent,"(39.006766, -75.370143)",Beach,09/25/2010,Bennetts Pier,,,107,1200,1,44,159,83,,,92,21,,62,38,110,63,129,50,,5,,,,11,5,41,9,6,52,20,14,3,3,20,2,1,70,,4,10,4,3,0,2,,,,12,22,0,1,8,0
Kent,"(39.172165, -75.422591)",Beach,09/25/2010,Port Mahon Road - Little Creek,,,74,875,1,59,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Kent,"(39.331561, -75.471161)",Beach,09/25/2010,Woodland Beach Boat Ramp,,,106,485,1.5,10,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,"(38.781946, -75.12997)",Beach,09/25/2010,Lewes Beach,,,115,159,4.5,14,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,"(38.53866, -75.054047)",Beach,09/25/2010,South Bethany Beach,,,47,105,1,10,380,95,,,50,6,,25,28,17,9,49,20,,77,,,,6,0,2,6,0,19,0,3,6,0,19,18,4,87,,0,61,0,0,0,1,,,,11,1,0,0,0,0
Sussex,"(38.701632, -75.162672)",Beach,09/25/2010,Boat Hole/Love Creek,,,13,190,2,10,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,"(38.913711, -75.305546)",Beach,09/25/2010,Slaughter Beach,,,170,831,4,40,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,"(38.827978, -75.212532)",Beach,09/25/2010,Broadkill Beach,,,54,350,1,15,466,165,,,121,2,,36,31,51,27,66,140,,21,,,,13,1,39,31,1,7,7,2,16,0,46,19,7,39,,1,15,0,1,0,6,,,,11,38,5,0,0,0
Sussex,"(38.544004, -75.054806)",Beach,09/25/2010,Bethany Beach,,,77,143,5,24,539,165,,,134,6,,83,24,28,3,5,61,,16,,,,17,1,4,11,3,12,0,7,9,0,15,28,1,7,,0,26,1,0,0,3,,,,17,4,1,2,2,0
Sussex,"(38.794119, -75.168285)",Beach,09/25/2010,Beach Plum Island,,,40,50,1,11,125,44,,,26,2,,9,11,20,7,28,19,,5,,,,3,0,9,4,1,8,1,0,4,0,9,1,3,1,,0,3,0,0,0,0,,,,3,14,0,0,1,0
Sussex,"(38.460359, -75.049301)",Beach,09/25/2010,Fenwick Island,,,81,365,1,10,1057,162,,,261,32,,125,24,13,7,27,48,,5,,,,18,1,8,3,0,6,5,2,9,0,7,29,3,11,,0,47,3,0,0,4,,,,17,0,0,0,1,0
Sussex,"(38.697879, -75.072531)",Beach,09/25/2010,Dewey Beach,,,69,273,1.6,17,2006,165,,,162,13,,72,41,36,33,60,74,,10,,,,7,0,1,1,1,3,1,1,26,0,18,78,11,25,,0,25,3,2,1,5,,,,12,7,0,0,1,0
Sussex,"(38.488626, -75.056725)",Beach,09/25/2010,Fenwick Island State Park,,,67,293,6,12,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
New Castle,"(39.7829201, -75.50058)",Beach,09/25/2010,Fox Point Park,,,114,1380,1.5,55,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,"(38.782381, -75.102911)",Beach,09/25/2010,Cape Henlopen State Park - Gordons Pond,,,127,403,1,17,2008,311,,,325,26,,135,85,123,29,58,250,,36,,,,5,23,79,59,3,38,4,81,19,0,55,38,6,37,,0,29,12,1,0,24,,,,67,46,2,0,3,0
Kent,"(39.057709, -75.396355)",Beach,09/25/2010,Bowers Beach South/ South Bowers Beach,,,90,400,0,25,59,61,,,53,2,,15,59,137,172,99,40,,5,,,,8,6,4,19,2,29,1,7,1,0,7,2,6,310,,3,2,2,0,0,2,,,,16,12,0,0,42,0
Kent,,Beach,09/25/2010,DuPont Nature Center/ Mispillion Harbor,,,16,300,2.4,12,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,,Beach,09/25/2010,Prime Hook Beach,,,14,30,2,1,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,"(38.7168581635821, -75.0757598876953)",Beach,09/25/2010,Rehoboth Beach,,,75,225,2,16,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Kent,"(39.0579503159953, -75.3961658477783)",Beach,09/25/2010,South Bowers Beach,,,90,400,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,"(38.9121402524817, -75.4324722290039)",Beach,09/25/2010,Fowler Beach,,,40,200,0,25,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Kent,"(39.058492, -75.397273)",Beach,09/25/2010,Bowers Beach North/ Bowers Beach,,,52,370,0,23,1762,217,,,135,33,,50,39,20,36,72,57,,29,,,,11,2,22,17,1,7,0,5,21,0,3,18,6,26,,5,7,3,0,0,1,,,,10,6,0,0,3,0
Sussex,"(38.7745565, -75.1393498)",Beach,09/25/2010,Cape Henlopen State Park- Herring Point,,,46,130,1,5,294,30,,,145,2,,28,23,29,3,10,46,,11,,,,3,0,8,2,0,6,0,0,2,0,3,8,0,3,,0,7,0,1,0,1,,,,9,5,0,0,0,0
Kent,"(39.0389933, -75.6273554)",Beach,09/25/2010,Norman G. Wilder Wildlife Area,,,5,400,1,25,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Sussex,"(38.7258873, -75.0779057)",Beach,09/25/2010,Deauville,,,16,140,1,10,827,123,,,75,0,,53,65,67,24,58,28,,13,,,,1,1,0,4,1,2,0,3,23,0,9,18,4,5,,0,14,3,2,0,3,,,,17,0,0,3,0,0
Sussex,"(38.7666667, -75.0958333)",Beach,09/25/2010,Cape Henlopen State Park - Main Beach,,,128,310,1,24,3,3,,,34,,,,6,10,6,6,,,,,,,2,,4,6,,44,1,,1,,10,1,15,1,,,3,,,,5,,,,2,,3,,1,
Kent,"(39.085748, -75.421875)",Beach,09/17/2011,Ted Harvey WLA/ Ted Harvey Wildlife Area,,,46,185,3,11,11,93,,,35,,,5,64,49,24,311,38,,,,,,9,4,23,17,5,16,21,1,13,,14,,18,6,,4,9,,2,,1,,,,15,56,,,,
New Castle,"(39.664715, -75.557785)",Beach,09/17/2011,Battery Park,,,108,1315,0.62,87,76,387,,,665,32,,326,127,488,66,30,161,,22,,,,19,2,16,12,10,19,23,7,43,2,4,67,70,64,,8,91,11,,11,30,,,,37,7,7,8,9,
